order,name,altName,cer,lat,lon,writ,type,countr,ha,bibl
689,Musīna-aplu-iddina,"Musīna-aplu-iddina, Musina-aplu-iddina, Musinâ",–,–,–,"URU.mu-si-na-A-AŠ, 𒌷𒈬𒋛𒈾𒀀𒀸",town,"Arpadda province, Syria",–,"Bagg RGTC 7 1: 178, Parpola Toponyms: 249 (Musinâ), <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Musina-aplu-iddina)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Musina-aplu-iddina)</a>"
1265,Mutianni,Mutianni,–,–,–,"URU.mu-ti-an-ni, 𒌷𒈬𒋾𒀭𒉌 ",town,"Assyria, Barḫalza province, Iraq",–,"Bagg RGTC 7 2/2: 438, Parpola Toponyms: 253, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Mutianni</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Mutianni [1])</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Mutianni [1])</a>"
694,Mutkīnu,"Mutkīnu, Tell ʿAbīr",2,36.692,38.09983,–,town,–,3 B4,Helsinki Atlas: 13 (map 3 B4)
1124,Muttabal,"Muttabal, Mutabal, Mutiabal",–,–,–,"mu-ta-bal.KI, 𒈬𒋫𒁄𒆠, URU.mu-ta-bal, 𒌷𒈬𒋫𒁄, mut-ta-bal, 𒄷𒄭𒋫𒁄","Amorite tribe, territory",Babylonia,–,Bagg RGTC 7 3/1: 418
693,Mušku,"Mušku, Musku, Muški, Muski, Mešek, מֶ֖שֶׁךְ, Phrygia",–,–,–,"mu-us-ki, 𒈬𒊻𒆠, KUR.mu-us-ki, 𒆳𒈬𒊻𒆠, KUR.mu-uš-ki, 𒆳𒈬𒍑𒆠, KUR.mu-us-ku, 𒆳𒈬𒊻𒆪, KUR.mus-ki, 𒆳𒈲𒆠, KUR.muš-ki, 𒆳𒈲𒆠, KUR.muš-ku, 𒆳𒈲𒆪, KUR.mu-us-ka-a-a, 𒆳𒈬𒊻𒅗𒀀𒀀, KUR.muš-ka-a-a, 𒆳𒈲𒅗𒀀𒀀, mšk, מֶ֖שֶׁךְ","territory, country",Turkey,–,"Bagg RGTC 7 1: 178–179 (Musku 1), Parpola Toponyms: 252–253 (together with Bagg's Musku 2), <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Phrygia/Muški</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Phrygia</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Musku [PHRYGIA])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Musku [PHRYGIA])</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Musku [PHRYGIA])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Musku [PHRYGIA])</a>"
691,Muṣur,"Muṣur, Egypt, Miṣraim, Miṣir",1,–,–,–,country,–,13 A3,Helsinki Atlas: 13 (map 13 A3)
688,Muṣāṣir,"Muṣāṣir, Muṣaṣir, Muğesir, Muǧesir, Mujesir, Mudjesir, Mjesar, Mojaisir, Muceyisîr, موجەيسير, موجيسير, Mujaysīs, Mujaysīs, مجيسيس, Gund-i Topzawa (?), Ṭūbzāwah (?), Topzawe (?), Topzawa (?), Ţawbzāwah (?), Tōpzāwa (?), Ţōpzāwah (?), طوبزاوة, طوبزاوه, Mergasur (?), Mêrgasur (?), ميركسور, Rabat Tapah (?), Rabat Teppe (?), Rabat Tapeh (?), Rabat Tepe (?), ربت تپه, Shahrak-e Rabţ (?), شهرک ربط",1,36.80148,44.63367,"mu-ṣa-ṣir, 𒈬𒍝𒈲, KUR.mu-ṣa-ṣi-ra, 𒆳𒈬𒍝𒍢𒊏, KUR.mu-ṣa-ṣi-ri, 𒆳𒈬𒍝𒍢𒊑, KUR.mu-ṣa-ṣi-ru, 𒆳𒈬𒍝𒍢𒊒, KUR.mu-ṣa-ṣir, 𒆳𒈬𒍝𒈲, KUR.mu-uṣ-ṣa-ṣir, 𒆳𒈬𒊻𒍝𒈲, URU.mu-ṣa-ṣi-ri, 𒌷𒈬𒍝𒍢𒊑, URU.mu-ṣa-ṣi-ru, 𒌷𒈬𒍝𒍢𒊒, URU.mu-ṣa-ṣir, 𒌷𒈬𒍝𒈲, KUR.mu-ṣa-ṣi-ra-a-a, 𒆳𒈬𒍝𒍢𒊏𒀀𒀀, KUR.mu-ṣa-ṣir-a-a, 𒆳𒈬𒍝𒈲𒀀𒀀, URU.mu-ṣa-ṣi-ra-a-a, 𒌷𒈬𒍝𒍢𒊏𒀀𒀀, URU.mu-ṣa-ṣir-a-a, 𒌷𒈬𒍝𒈲𒀀𒀀","capital, city, country","Muṣāṣir, Iraq",4 D5,"Bagg RGTC 7 3/1: 415–417 (Muṣaṣir), Helsinki Atlas: 13 (map 4 D5), Parpola Toponyms: 250 (Muṣaṣir), <a href='https://www.geonames.org/7417021/mujaysis.html' target='_blank'>Geonames: Mujaysīs/Mojaisir</a>, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Muṣaṣir? (Muǧesir)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Ṭūbzāwah</a>, <a href='https://www.geonames.org/90109/topzawe.html' target='_blank'>Geonames: Topzawe</a>, <a href='https://pleiades.stoa.org/places/126728263' target='_blank'>Pleiades: Muṣaṣir</a>, <a href='https://www.geonames.org/93455/mergasur.html' target='_blank'>Geonames: Mêrgasur</a>, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: (Rabat Teppe)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Rabat Tapah</a>, <a href='https://pleiades.stoa.org/places/418645876' target='_blank'>Pleiades: Rabat Tapah</a>, <a href='https://www.geonames.org/6686484/shahrak-e-rabt.html' target='_blank'>Geonames: Shahrak-e Rabţ</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Muṣaṣir</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Muṣaṣir [1])</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Muṣaṣir [1])</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Muṣaṣir [1])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Muṣaṣir [1])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic Names (Muṣaṣiraya [1])</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>ATAE Glossary: Ethnic Names (Muṣaṣiraya [1])</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>ATAE Glossary: Ethnic Names (Muṣaṣiraya [of Muṣaṣir])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic Names (Muṣaṣiraya [of Muṣaṣir])</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>RIAo Glossary: Ethnic Names (Muṣaṣirayu [of Muṣaṣir])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>RINAP Glossary: Ethnic Names (Muṣaṣirayu [of Muṣaṣir])</a>"
631,Mādaba,"Mādaba, Madaba, Mēdeba, Μήδαβα, מֵידְבָא‎, مادبا",–,31.714700808822,35.79229526122018,–,city,"Māʾab, Jordan",–,<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Madaba</a>
632,Mādāia,"Mādāia, Mādāja, Mādai, Mēdia, Media",2,–,–,–,territory,–,12 A1,Helsinki Atlas: 13 (map 12 A1)
641,Māliki,"Māliki, Maliki, Malaku, Malaki",–,–,–,"URU.ma-la-ki, 𒌷𒈠𒆷𒆠, URU.ma-lak, 𒌷𒈠𒋃, URU.ma-li-ki, 𒌷𒈠𒇷𒆠, URU.ma-lak-a-a, 𒌷𒈠𒋃𒀀𒀀, URU.ma-a-lak-ka-a-a, 𒌷𒈠𒀀𒋃𒅗𒀀𒀀",town,"Rāši, Elam, Iran",–,"Bagg RGTC 7 3/1: 386 (Māliki), Bagg RGTC 7 2/2: 385 (Māliku) (?), Parpola Toponyms: 234–235 (Malaku), <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Malaku</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Malaku</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Malaku)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Malaku)</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>ATAE Glossary: Ethnic (Malikaya [OF MALIKI]</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Maliki)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Maliki)</a>"
