order,name,altName,cer,lat,lon,writ,type,countr,ha,bibl
247,Būr-marʾīna,"Būr-marʾīna, Burmarʾina, Burmarina, Marinā, Marīna, Marinâ, Marinâ ša Bīt-Adini, Marīna ša šadê, brmrn, Tell Šiʾūḫ Fawqāni, Tell esh-Shiyukh Fawqani, Tell Shiukh Fawqani, Tall al-Shiyūkh Fūqānī, Tall ash-Shiyukh, Tall Šijūḫ Fawqānī, تل الشيوخ فوقاني, Šiyuḫ Fawqānī, Es-Shiough, Šijūḫ Fawqānī",1,36.78755124230915,38.03596813475002,"URU.bur-mar-ʾi-na, 𒌷𒁓𒈥𒀪𒈾, URU.ma-ri-na-a šá É-<sup>m</sup>a-di-ni, 𒌷𒈠𒊑𒈾𒀀𒃻𒂍𒁹𒀀𒁲𒉌, brmrn, 𐡁𐡓𐡌𐡓𐡍",town,"Bīt-Adini, Syria",3 B4,"Helsinki Atlas: 8 (map 3 B4), Bagg RGTC 7 1: 55, Parpola Toponyms: 95, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Burmarina (Tell esh-Shiyukh Fawqani)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Burmarina / Tall al-Shiyūkh Fūqānī</a>, <a href='https://pleiades.stoa.org/places/727743777' target='_blank'>Pleiades: Bur-mar'ina</a>, <a href='https://books.openedition.org/cdf/4439' target='_blank'>MTT I/2: Marīna (HIGEOMES Nr. 118)</a>, <a href='https://books.openedition.org/cdf/4487' target='_blank'>MTT I/3: Tall ash-Shiyukh Fawqani (HIGEOMES Nr. 118)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Marina)</a>"
251,Būru-Wēr,"Būru-Wēr, Buresa, Buruʾesa, Buru'esa",–,–,–,"URU.bu-ru-e-er (?), 𒌷𒁍𒊒𒂊𒅕, URU.bu-ru-e-sa (?), 𒌷𒁍𒊒𒂊𒊓",town,"Assyria, Kalḫu province (?)",–,"Bagg RGTC 7 2/1: 129 (Būru-Wēr (?)), <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Buruʾesa)</a>"
249,Būrāte,"Būrāte, Būrāti, Burāti, Burate, Burati",–,–,–,"URU.bu-ra-a-te, 𒌷𒁍𒊏𒀀𒋼",town,"Ḫābūr triangle, Syria",–,"Bagg RGTC 7 1: 127 (Būrāte 1), Zadok 1995: 237, 3.6.4.5, SAAB 3 67"
250,Būrāti,"Būrāte, Būrāti, Burāti, Burate, Burati",–,–,–,"URU.bu-ra-a-ti, 𒌷𒁍𒊏𒀀𒋾, URU.bu-ra-a-te, 𒌷𒁍𒊏𒀀𒋼","fortress, town","Elam, Iran",–,"Bagg RGTC 7 1: 127 (Būrāte 2), Parpola Toponyms: 95 (Burāti), <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Burati</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Burati)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Burati)</a>"
1305,Cudi Dağı Hasanah,"Cudi Dağı Hasanah, Ğudi Dağ Ḥasanah, Ḥasanah, Hessana, Khessana, Kösreli, Kosreli, Kösreli Köyü, Cudi Dağı, Ğudi Dağ, Judi Dagh, Cudi Dagh",1,37.34138,42.42521,–,monument,"Nipur, Turkey",–,"Erkanal (1987): <i>1986 Cudi Dağı Araştırması</i>. Araştırma Sonuçları Toplantısı 5/2: 111–118, Kreppner (2000): <i>Public Space in Nature: The Case of Neo-Assyrian Rock-Reliefs</i>. AoF 29: 369–370, Helsinki Atlas: 24 (map 4 B4), <a href='https://www.geonames.org/306263/koesreli.html' target='_blank'>Geonames: Kösreli</a>"
1306,Cudi Dağı Şah,"Cudi Dağı Şah, Ğudi Dağ Šeḫ, Şah, Sah, Šeḫ, Shakh, Çağlayan, Caglayan, Cudi Dağı, Ğudi Dağ, Judi Dagh, Cudi Dagh",1,37.38182,42.33012,–,monument,"Nipur, Turkey",–,"Erkanal (1987): <i>1986 Cudi Dağı Araştırması</i>. Araştırma Sonuçları Toplantısı 5/2: 111–118, Kreppner (2000): <i>Public Space in Nature: The Case of Neo-Assyrian Rock-Reliefs</i>. AoF 29: 369–370, Helsinki Atlas: 24 (map 4 B4), <a href='https://www.geonames.org/408545/caglayan.html' target='_blank'>Geonames: Çağlayan</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Cudi Dağı</a>"
259,Daban,"Daban, Rūdḫāne-ye Gangir",3,–,–,–,river,–,11 A3,Helsinki Atlas: 8 (map 11 A3)
274,Dabinu,"Dabinu, Diban, Dibon, Dībōn, דִּיבוֹן, Diʾbān, Dhiban, ذيبان",–,31.50182193575066,35.77646120526224,"KUR.da-ab-i-na-a-a (?), 𒆳𒁕𒀊𒄿𒈾𒀀𒀀 (?), דִּיבוֹן, djbn, 𐤃𐤉𐤁𐤍","capital, city","Māʾab, Jordan",–,"Bagg RGTC 7 1: 263 (Ṭābilu), <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Diban</a>, <a href='https://pleiades.stoa.org/places/697654' target='_blank'>Pleiades: Dibon</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Dabinu</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Dabinu</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Dabinaya [DIBONITE])</a>"
261,Dadiualla,"Dadiualla, Dadi-ualla, Šadi-Samalla, Tall al-Ḥusainiyeh, Husaynīyah, Ḩusaynīyah, حسينية",–,36.68203,43.24538,"URU.da-di-ú-al-la, 𒌷𒁕𒁲𒌑𒀠𒆷",town,"Assyria, Talmūsa province, Iraq",–,"Bagg RGTC 7 2/1: 131, Parpola Toponyms: 329 (Šadi-Samalla), <a href='https://www.geonames.org/6999625/husayniyah.html' target='_blank'>Geonames: Ḩusaynīyah</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-people/onebigfile.html' target='_blank'>SAAo Glossary: People (Dadi-ualla)!!!</a>"
262,Daduni,"Daduni, Dadunu",–,–,–,"KUR.da-du-ni, 𒆳𒁕𒁺𒉌","mountain (?), territory (?)",Zabban,–,"Bagg RGTC 7 2/1: 131, Parpola Toponyms: 96, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Dadunu</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Dadunu)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Dadunu)</a>"
1158,Dagara,Dagara,–,–,–,"KUR.da-ga-ra, 𒆳𒁕𒂵𒊏, URU.da-ga-ra, 𒌷𒁕𒂵𒊏","city, country","Māzamua, Iraq",–,"Bagg RGTC 7 3/1: 166, Parpola Toponyms: 96, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Dagara)</a>"
1067,Daiaeni,"Daiaeni, Dajaeni, Daiēnu, Daiēni, Dajēni, Diaueḫe, Taochoi, Tauchoi, Τάοχοι",–,40.5784818904,41.669213866,"KUR.da-ia-a-ni, 𒆳𒁕𒅀𒀀𒉌, KUR.da-ia-e-ni, 𒆳𒁕𒅀𒂊𒉌, KUR.da-ia-ni, 𒆳𒁕𒅀𒉌, URU.da-ia-e-ni, 𒌷𒁕𒅀𒂊𒉌, KUR.da-ie-ni, 𒆳𒁕𒅀𒉌",territory,"Naʾiri, Urarṭu, Turkey",–,"Bagg RGTC 7 3/1: 167–168, Parpola Toponyms: 97, <a href='https://pleiades.stoa.org/places/857343' target='_blank'>Pleiades: Taochoi</a>, <a href='https://books.openedition.org/cdf/4439' target='_blank'>MTT I/2: Dajēni (HIGEOMES Nr. –)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Daiaeni)</a>"
263,Daiašeti,"Daiašeti, Dajašeti, Daiašetu, Dajašetu, Sitha (?), ruins of al-Aswad (?)",4,33.52024,43.04159,"URU.da-ia-še-ti, 𒌷𒁕𒅀𒊺𒋾",town,"Sūḫu, Iraq",–,"Bagg RGTC 7 1: 132, Parpola Toponyms: 97, Musil (1927): <i>The Middle Euphrates: A Topographical Itinerary</i>: 203 and map e9, <a href='https://pleiades.stoa.org/places/894008' target='_blank'>Pleiades: Idu/Diacira/Hit</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Daiašetu)</a>"
264,Dalaimme,"Dalaimme, Dalhūn, Dalhoun, دلهون",–,33.62667,35.4675,"URU.da-la-im-me, 𒌷𒁕𒆷𒅎𒈨",town,"Phoenicia, Ṣīdūnu, Lebanon",–,"Bagg RGTC 7 1: 57–58, Parpola Toponyms: 97, <a href='https://www.geonames.org/275853/dalhoun.html' target='_blank'>Geonames: Dalhoûn</a>, <a href='https://www.geonames.org/173428/al-munyah.html' target='_blank'>Geonames: Al Munyah</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Dalaimme)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Dalaimme)</a>"
265,Damdammusa,"Damdammusa, Damdammusu, Damdammusi, Dandammusu, Kaziktepe (?), Pornak (?), Sardebar (?), Sardeoua (?), Tauşantepe (?), Aktepe (?)",4,37.72463,40.56995,"URU.da-am-da-mu-sa, 𒌷𒁕𒄠𒁕𒈬𒊓, URU.dam<sup>am</sup>-dam-mu-si, 𒌷𒁮𒄠𒁮𒈬𒋛, URU.dam<sup>am</sup>-dam-mu-su, 𒌷𒁮𒄠𒁮𒈬𒋢, URU.dam-dam-mu-sa, 𒌷𒁮𒁮𒈬𒊓",city,"Nirbu, Bīt-Zamāni, Turkey",–,"Bagg RGTC 7 2/1: 133–134, Bagg RGTC 7 2/2: 740 (Aktepe; Dandammusu); 748 (Pornak; Damdammusu; Sinabu), Parpola Toponyms: 98, <a href='https://pleiades.stoa.org/places/874681' target='_blank'>Pleiades: Sardeoua/‘Sardebar’</a>, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Damdammusa? (Kaziktepe)</a>, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Aktepe</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Damdammusa)</a>"
266,Dan,"Dan, דן, Tell Qadi, تل القاضي, Tel Dan, תל דן",–,33.24855518974393,35.65252280199174,דן,town,"Canaan, Bīt-Ḫumrî, Israel",–,"<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Dan (Tell Qadi)</a>, <a href='https://pleiades.stoa.org/places/678109' target='_blank'>Pleiades: Dan</a>"
268,Danabu,"Danabu, Dababu, Din<sup>e</sup>hābâ, Dinhabah, דִּנְהָבָה, Danaba, Danova (?), Ḏunaiba (?), Ṣaidnāyā (?), صيدنايا (?), Ḏunaiba (?), دنيبة (?), Tall Ābil, Abila Dekapoleos/Seleukeia, Quwailibī, Ḏunaiba, ذنيبّة",3,32.68241,35.8689,"KUR.da-na-bi, 𒆳𒁕𒈾𒁉, URU.da-an-a-bi, 𒌷𒁕𒀭𒀀𒁉, URU.da-na-bi, 𒌷𒁕𒈾𒁉, URU.da-na-bu, 𒌷𒁕𒈾𒁍, URU.da-na-pa-a-a, 𒌷𒁕𒈾𒉺𒀀𒀀","town, fortified city","Dimašqa, Syria (?), Jordan (?)",8 A3,"Helsinki Atlas: 8 (map 8 A3), Bagg RGTC 7 1: 59–60, Parpola Toponyms: 98, <a href=https://pleiades.stoa.org/places/668236>Pleiades: ‘Danova’</a>, <a href=https://pleiades.stoa.org/places/677992>Pleiades: Abila Dekapoleos/Seleukeia</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Danabu</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Danabaya)</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Danabi)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Danabi)</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Danabu)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Danabu)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Danabu)</a>"
1066,Daqalu,"Daqalu, Daqala, Dagalā, Til-Daqalu, Diqlâ, דִּקְלָה, Beth Deqla, Bayt-Dagalâ",–,31.731945,45.005407,"URU.da-qa-la, 𒌷𒁕𒋡𒆷, URU.da-qa-lu, 𒌷𒁕𒋡𒇻",fortified city,"Bīt-Amukkāni, Babylonia, Iraq",–,"Bagg RGTC 7 3/1: 172, Parpola Toponyms: 99, Zadok (1985): <i>Zur Geographie Babyloniens während des sargonidischen...</i>. Die Welt des Orients 16: 60, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Daqalu)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Daqalu)</a>"
270,Dawali,"Assyrian name unknown, Dawali, Dawālī, Ad-Dawālī, Ad Dawālī",–,34.45357,41.99118,–,–,"Sūḫu, Iraq",–,RIMB 2: 309
271,Dedan,"Dadanu, Dedan, Dadān, דְּדָן, Lihyan, لحيان, al-'Ula (?), al-ʿUlā (?), الْعُلَا",4,26.66662976870679,37.91062410669038,–,town,Saudi Arabia,–,"<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Dedan?</a>, <a href='https://pleiades.stoa.org/places/814671' target='_blank'>Pleiades: Dedan/al-'Ula</a>"
273,Diati,Diati,–,–,–,–,town,Assyria,–,RGTC 7 2/1: 140–141
275,Dibar (mountain),"Dibar, Ğabal ʿAbd al-ʿAzīz",2,–,–,–,mountain,–,3 D4,Helsinki Atlas: 8 (map 3 D4)
276,Dibirāti,Dibirāti,–,–,–,–,town,Arrapḫa province (?),–,RGTC 7 2/1: 141
277,Diglat,"Diglat, Idiglat, Tigris, Diğla",1,–,–,–,river,–,10 C2,Helsinki Atlas: 8 (map 10 C2)
278,Dilbat,"Dilbat, Dilbatu, Talbat, Tell Dulaim, Tell Dailam, Tall al-Dilaiym, تل الدليم, Deilam",1,32.29571615001174,44.46622078649037,"dil-bat, 𒀸𒁁, dil-bat.KI, 𒀸𒁁𒆠, URU.dil-bat.KI, 𒌷𒀸𒁁𒆠, URU.dil-bat, 𒌷𒀸𒁁, LÚ.dil-bat.KI.MEŠ-u, 𒇽𒀸𒁁𒆠𒈨𒌍𒌋, LÚ.URU.dil-bat.KI-ú-a, 𒇽𒌷𒀸𒁁𒆠𒌑𒀀, LÚ.dil-bat.KI.MEŠ, 𒇽𒀸𒁁𒆠𒈨𒌍",city,"Babylonia, Iraq",10 D4,"Helsinki Atlas: 8 (map 10 D4), Bagg RGTC 7 3/1: 174–175, Parpola Toponyms: 103, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Dilbat (Deilam)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Dilbat / Tall al-Dilaiym</a>, <a href='https://pleiades.stoa.org/places/893987' target='_blank'>Pleiades: Dilbat</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Dilbat</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Dilbat</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Dilbat)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Dilbat)</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Dilbat)</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Dilbat)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Dilbataya [DILBATEAN])</a>"
280,Dimašqa,"Dimašqa, Dimmašqa, Dimašqu, Dammaśq, dmšq, dmśq, 𐡃𐡌𐡔𐡒, Dammeśeq, דמשק, דַּמֶּשֶׂק, Darmeśeq, דַרְמֶשֶׂק‎, דרמשק, Demetrias, Damaskos, Δαμασκὸς, Damascus, Dimašq, دمشق, aš-Šām, الشَّام",1,33.51012387661223,36.30920594609906,"URU.di-ma-áš-qi, 𒌷𒁲𒈠𒀾𒆥, URU.di-maš-qa, 𒌷𒁲𒈦𒋡, URU.di-maš-qi, 𒌷𒁲𒈦𒆥, URU.di-maš-qí, 𒌷𒁲𒈦𒆠, URU.di-maš-qu, 𒌷𒁲𒈦𒄣, URU.dim-maš-qa, 𒌷𒁴𒈦𒋡, URU.di-maš-qa-a-a, 𒌷𒁲𒈦𒋡𒀀𒀀, דמשק, דַּמֶּשֶׂק, dmšq, dmśq, 𐡃𐡌𐡔𐡒","city, capital, prov. capital","Bīt-Ḫazaʾil, Syria",8 B3,"Helsinki Atlas: 8 (map 8 B3), Bagg RGTC 7 1: 60–62, Parpola Toponyms: 103–104, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Damaskus</a>, <a href='https://pleiades.stoa.org/places/678106' target='_blank'>Pleiades: Damascus</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Damascus</a>, <a href='https://www.ucl.ac.uk/sargon/peoplegodsplaces' target='_blank'>Assyrian empire builders: Damascus</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Dimašqa [DAMASCUS])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Dimašqa [DAMASCUS])</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Dimašqa [DAMASCUS])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Dimašqa [DAMASCUS])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Dimašqaya [DAMASCENE])</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Dimmašqa [DAMASCUS])</a>"
281,Dinanu,"Dinanu, dynn, bynn, Tall Abū Danna, Tell Abu Danne, Abū Dānā, Abu Dana, أبو دانا, Abū Z̧annah, Abu Zannah, أبو ظنة",–,36.17888927342603,37.45161182028342,"URU.di-na-nu, 𒌷𒁲𒈾𒉡, dynn, 𐡃𐡉𐡍𐡍, bynn, 𐡁𐡉𐡍𐡍",city,"Bīt-Agūsi, Syria",–,"Bagg RGTC 7 1: 62, Parpola Toponyms: 105, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: (Tell Abu Danne)</a>, <a href='https://www.geonames.org/174547/abu-zannah.html' target='_blank'>Geonames: Abū Z̧annah</a>, <a href='http://oracc.museum.upenn.edu/riao/cbd/qpn-x-places/onebigfile.html' target='_blank'>RIAo Glossary: Places (Dinanu [1])</a>, <a href='http://oracc.museum.upenn.edu/rinap/cbd/qpn-x-places/onebigfile.html' target='_blank'>RINAP Glossary: Places (Dinanu [1])</a>"
282,Diniktum,Diniktum (?),4,32.83361346623915,45.34361553310157,–,city,"Babylonia, Iraq",–,<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Diniktum? (D851)</a>
283,Diqūqīna,"Diqūqīna, Diqukīna, Diqukina, Ṭāwūq (?), Daqūq (?), Daqūqā (?), داقوق",–,35.13923,44.44907,"URU.di-qu-qi-na, 𒌷𒁲𒄣𒆥𒈾, KUR.di-qu-ki-na, 𒆳𒁲𒄣𒆠𒈾, URU.di-qu-qi-na-a-a, 𒌷𒁲𒄣𒆥𒈾𒀀𒀀",town,"Laḫīru (1) (?), Iraq",–,"Bagg RGTC 7 2/1: 143–144, Parpola Toponyms: 105, <a href='https://www.geonames.org/90220/daquq.html' target='_blank'>Geonames: Dāqūq</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Diquqina</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Diquqina)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Diquqina)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-ethnic/onebigfile.html' target='_blank'>SAAo Glossary: Ethnic (Diquqinaya [FROM DIQUQINA])</a>"
284,Dohuk,"Dohuk, Dohok",–,36.86249,42.91942,–,monument,Iraq,–,–
285,Dummutu,"Dummutu, Dummete, Dummetu, Zenobia, Ḥalabīya, حلبية, Tall Ḏimme (?)",4,35.68683,39.82767,"URU.du-um-me-te, 𒌷𒁺𒌝𒈨𒋼, URU.du-um-mu-tú, 𒌷𒁺𒌝𒈬𒌓",town,"Bīt-Adini, Syria",3 C5,"Helsinki Atlas: 8 (map 3 C5), Bagg RGTC 7 1: 62–63, <a href='https://pleiades.stoa.org/places/894185' target='_blank'>Pleiades: Zenobia</a>, <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Zenobia (Halabiye)</a>, <a href='https://www.geonames.org/170042/halabiyah.html' target='_blank'>Geonames: Ḩalabīyah</a>"
287,Dunnu-ša-Uzībi,"Dunnu-ša-Uzībi, Dunnu-ša-Uzibi, Giricano, Giriçano, Giricano Höyüğü",–,37.81700579502202,40.75006205201868,–,town,Turkey,–,"<a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Dunnu-ša-Uzibi (Giricano)</a>, <a href='https://zenodo.org/record/5217600' target='_blank'>CIGS: Giricano</a>, <a href='https://pleiades.stoa.org/places/293088342' target='_blank'>Pleiades: Giricano</a>, <a href='https://books.openedition.org/cdf/4487' target='_blank'>MTT I/3: Giricano/DUNNU-ŠA-UZĪBI (HIGEOMES Nr. 165)</a>"
286,Dunnāte,Dunnāte,–,–,–,–,town,Central Assyria (?),–,RGTC 7 2/1: 146
313,Duʾūa,"Duʾūa, Duʾa, Duʾua",–,–,–,–,town,"Central Assyria, Kalḫu province",–,RGTC 7 2/1: 164
260,Dābigu,"Dābigu, Dabigu, Dābiq, Adabiq, Adabig, Dabekon, Dabigu, Dabekov, Tell Dabiq, Tall Dābiq, تل دابق",1,36.53975772825272,37.26848559026516,"URU.da-bi-gi, URU.da-bi-gu","town, fortified city","Bīt-Adini, Syria",2 D4,"Helsinki Atlas: 8 (map 2 D4), Bagg RGTC 7 1: 57 (Dabigu), <a href='https://zenodo.org/record/6384045' target='_blank'>Pedersén ANE: Dabigu / Dabekov (Tell Dabiq)</a>, <a href='https://pleiades.stoa.org/places/727743778' target='_blank'>Pleiades: Dabigu</a>"
267,Dāna,"Dāna, Dana, ad-Dāna, ad-Dānā, الدانا",2,36.21254,36.76998,"URU.da-a-na, 𒌷𒁕𒀀𒈾",town,"Unqi (?), Ḫamāt (?), Syria",2 C4,"Helsinki Atlas: 8 (map 2 C4), Bagg RGTC 7 1: 58, Parpola Toponyms: 98, <a href='https://www.geonames.org/174259/ad-dana.html' target='_blank'>Geonames: Ad Dānā</a>, <a href='http://oracc.museum.upenn.edu/saao/knpp/peoplegodsplaces/index.html' target='_blank'>Knowledge and Power: Dana</a>, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Dana)</a>, <a href='http://oracc.museum.upenn.edu/saao/cbd/qpn-x-places/onebigfile.html' target='_blank'>SAAo Glossary: Places (Dana)</a>"
269,Dāri-abu,"Dāri-abu, Dari-abu, Dāra-abūʾa, Dara-abuʾa",–,–,–,"URU.dà-ri-AD, 𒌷𒆕𒊑𒀜",town,"Assyria (?), Iraq",–,"Bagg RGTC 7 2/1: 136, <a href='http://oracc.museum.upenn.edu/atae/cbd/qpn-x-places/onebigfile.html' target='_blank'>ATAE Glossary: Places (Dara-abuʾa)</a>"
